"Variable";"Contribucion_Dim1_Dim2";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5";"Dim.6";"Dim.7";"Dim.8";"Dim.9";"Dim.10";"Dim.11";"Dim.12";"Dim.13";"Dim.14";"Dim.15";"Dim.16";"Dim.17";"Dim.18";"Dim.19";"Dim.20";"Dim.21";"Dim.22";"Dim.23";"Dim.24";"Dim.25";"Dim.26";"Dim.27"
"Viviendas";8,67557819640964;6,08445304544085;2,59112515096879;0,696844593837793;0,224894629150314;5,25920574776386;4,86168745815041;0,0674796218773525;0,346248428911086;2,4521130798372;1,73032451815635;0,986750309174974;1,85242239704556;1,39499415246212;0,0641934206691117;1,03086038310333;9,17770339554494;4,09365592239593;4,81500717007285;1,25570878058849;0,732984148221242;0,0313311271924915;0,247200080869457;1,0184015457591e-05;0,00280225454947662;44,9024542420471;5,09754575795346;0
"De_12_17_Años";8,56533683588672;0,121181145873473;8,44415569001325;4,73854417104526;0,868858117055706;0,461591757433264;1,65694187649323;0,18045625049582;1,29519859536217;0,422147779382282;0,507398095935913;16,8605792643659;8,12726426077958;20,5359305120812;2,51324047381956;0,299350603584008;0,125202362779728;1,99110845953359;1,56724675177479;17,8945480592675;2,20328325613267;7,06977269363235;0,21618311756552;0,00177866620114707;0,00070120050616702;0,0481770564134138;0,424374429154365;1,42478535331814
"Carencia_Paredes";8,15127436648545;2,69922907608799;5,45204529039746;4,76907869923185;0,333912802314797;0,898435997905889;6,23378673104972;0,385724639052708;2,43502590205914;13,292039037185;0,199787276133831;4,59468567884117;1,09203621840943;1,3983148408145;0,809056068746202;0,536805178746253;13,8322312542662;0,130260940915849;4,6485879109992;0,00232929657607319;0,231409964697436;0,60835475158903;1,30453557425938;21,5284631564258;0,00590181802007605;0,962955917101785;8,48233366759018;3,1326723105831
"Servicio_Recoleccion_Basura";8,06454922511155;7,61954137865965;0,445007846451903;0,00454259920162517;0,411516575249804;0,927282567512189;0,361369997962764;0,60745027890064;0,554363224691765;10,5546460724858;3,24363834403155;0,00691269937269152;0,000945992873010304;0,0788025125047416;0,974776627752106;35,2709033010115;0,0187877290384169;6,18389226515101;3,00855750230384;0,00541118762567965;27,56566026961;1,70352575827212;0,416700942827125;0,0353540121008678;0,000410314409186198;4,33334237487128e-30;5,82593808177139e-31;1,92592994438724e-32
"De_0_5_Años";7,93729524238069;0,0773120506026494;7,85998319177804;6,86792981719939;0,398153306209569;0,719228830233357;0,119600544213033;10,5321606815537;0,122962044304901;0,014936754929877;0,980640686653619;2,9756104730605;18,7711542660334;21,1506472159989;0,929536810232616;0,248998547171667;0,0613440998069224;0,133611257522064;1,99602728302326;17,9462112732511;1,15511822699518;4,35984229604699;1,05455624400289;0,0162356858058277;1,12132207959956e-06;0,0382960497748219;0,337336181824761;1,13256506044891
"De_18_59_Años";7,90776822187425;4,84089882451618;3,06686939735808;1,27385933239923;0,489988341508751;2,30125201257642;0,823855012352493;0,16026526811465;0,765278411422357;0,209977282918205;19,2589191315984;24,5485212973339;14,5692695322774;0,00955673473799799;0,552170548462927;0,312399634929218;1,51954417118031;4,49928180105401e-08;0,0257696603797798;0,327138664262044;0,297284801094446;0,0240622633744513;0,156356784941292;0,00191126671040182;1,77034922401584e-05;0,621209506759103;5,47201197918682;18,37161239112
"Posee_Celular";7,83683423411898;7,49942097642965;0,337413257689331;0,207893310348139;1,06133160725758;0,799539179062342;0,241357916866682;0,0294801515239976;0,345832634997697;0,00465011639839569;14,4370810519363;14,1833919868745;2,31536994724701;1,51820462348174;0,719632914550613;0,120768257556034;0,00711593728789792;33,3940421870376;2,39406061617693;0,471078139760941;11,263135213068;8,22785167456797;0,418511225757001;0,00256145484900139;0,000275619274714237;7,70371977754894e-32;3,25482160601443e-30;1,92592994438724e-30
"Servicio_Agua_Potable";7,78719486143924;7,47663309540754;0,310561766031702;0,287641384970279;0,0898311133553788;0,530986558150346;0,00646803726202033;0,0120907441522323;0,308058623731416;15,4108972086837;3,15136507012626;0,330394261517692;0,0185177458843018;1,69453637696577;10,2357683354019;43,4269475200842;13,4745861568868;1,00485438768761;0,0465488350853101;0,00936954413881053;1,64427420106094;0,493853916023873;0,0341536787936524;0,00158081963794244;8,06189602027395e-05;1,92592994438724e-30;2,77333911991762e-30;4,33334237487128e-30
"Hacinamiento";7,75412284527758;0,360031786171655;7,39409105910593;3,7079884982114;0,50596397079094;8,93156529523451;7,63652417991955;0,406722533566736;0,300027210128583;1,39240643532102;10,3783083083112;0,95990346733031;0,0541398960753507;1,14783966017771;9,49159403515732;0,120436774226339;2,27232132446014;5,18257580340863;15,2185617331702;0,786443820784775;4,54554683597526;16,5258406715681;1,13255874463229;0,709376093445987;0,00377412654010752;0,063961791055129;0,563416501286159;0,208079443944601
"Servicio_Inodoro";7,63303963003567;6,57967920515381;1,05336042488186;0,0691810229426588;0,0416962561238296;0,465426532026729;0,455584301909556;2,84098666498834;4,61868570876349;21,1619423016558;2,74363939769519;2,78179410803261;0,72201162666708;4,14375709141813;0,506466562294826;2,73463343037624;4,40799909931099;17,6406582040276;0,728815737514177;0,00179956865376118;22,7467991318365;2,21768780142948;0,693543162077855;0,643756431814421;9,62284049755798e-05;1,73333694994851e-31;1,20370621524202e-31;5,56593753927911e-30
